Average Time;Global Size;LocalSize
2.21372e-05;51;17
2.08139e-05;52;17
2.22278e-05;53;17
2.22254e-05;54;17
2.05564e-05;55;17
2.31624e-05;56;17
2.04134e-05;57;17
2.09522e-05;58;17
2.2366e-05;59;17
1.37472e-05;60;17
1.72377e-05;61;17
2.42138e-05;62;17
1.5049e-05;63;17
2.07734e-05;64;17
1.88088e-05;1;18
1.70565e-05;2;18
1.6818e-05;3;18
2.00367e-05;4;18
1.58286e-05;5;18
1.52683e-05;6;18
1.7395e-05;7;18
1.64962e-05;8;18
1.65701e-05;9;18
1.75762e-05;10;18
1.89304e-05;11;18
1.88303e-05;12;18
1.92094e-05;13;18
1.73116e-05;14;18
1.83535e-05;15;18
1.95289e-05;16;18
1.76311e-05;17;18
1.80531e-05;18;18
1.72305e-05;19;18
1.75047e-05;20;18
1.9052e-05;21;18
1.90544e-05;22;18
1.85394e-05;23;18
1.64938e-05;24;18
1.69516e-05;25;18
1.63841e-05;26;18
1.91474e-05;27;18
1.8537e-05;28;18
1.54305e-05;29;18
1.66368e-05;30;18
1.83058e-05;31;18
1.81174e-05;32;18
1.93906e-05;33;18
1.82199e-05;34;18
1.9176e-05;35;18
1.76048e-05;36;18
1.61672e-05;37;18
1.7035e-05;38;18
1.82772e-05;39;18
1.6396e-05;40;18
1.71661e-05;41;18
1.59216e-05;42;18
1.68514e-05;43;18
1.61147e-05;44;18
1.79315e-05;45;18
1.67227e-05;46;18
1.683e-05;47;18
1.73759e-05;48;18
1.74475e-05;49;18
1.78552e-05;50;18
2.02799e-05;51;18
1.66559e-05;52;18
1.78552e-05;53;18
1.79839e-05;54;18
1.84321e-05;55;18
1.40309e-05;56;18
1.79338e-05;57;18
1.68133e-05;58;18
1.75142e-05;59;18
1.72377e-05;60;18
1.78528e-05;61;18
1.83487e-05;62;18
1.72806e-05;63;18
1.71947e-05;64;18
1.81937e-05;1;19
1.56522e-05;2;19
1.6818e-05;3;19
1.88518e-05;4;19
1.51658e-05;5;19
1.42717e-05;6;19
